imdb_id,title,original_title,year,runtime_minutes,genres,average_rating,num_votes,imdb_url
tt2429292,Shed No Tears,Känn ingen sorg,2013,109.0,Drama,6.9,5922,https://www.imdb.com/title/tt2429292
tt10702148,The Killing of Two Lovers,The Killing of Two Lovers,2020,85.0,Drama,6.8,5919,https://www.imdb.com/title/tt10702148
tt0117093,Mother Night,Mother Night,1996,114.0,Drama,7.1,5907,https://www.imdb.com/title/tt0117093
tt0112313,Akele Hum Akele Tum,Akele Hum Akele Tum,1995,160.0,Drama,6.9,5903,https://www.imdb.com/title/tt0112313
tt0110361,Lisbon Story,Lisbon Story,1994,100.0,Drama,7.1,5903,https://www.imdb.com/title/tt0110361
tt0088213,Swing Shift,Swing Shift,1984,100.0,Drama,6.0,5898,https://www.imdb.com/title/tt0088213
tt0405266,Raincoat,Raincoat,2004,117.0,Drama,7.7,5896,https://www.imdb.com/title/tt0405266
tt8941440,Virus,Virus,2019,152.0,Drama,7.7,5894,https://www.imdb.com/title/tt8941440
tt9067182,Rocks,Rocks,2019,93.0,Drama,7.4,5889,https://www.imdb.com/title/tt9067182
tt0281924,I Am Dina,I Am Dina,2002,125.0,Drama,6.5,5889,https://www.imdb.com/title/tt0281924
tt0191636,Widow of St. Pierre,La veuve de Saint-Pierre,2000,112.0,Drama,7.1,5883,https://www.imdb.com/title/tt0191636
tt1657517,The Song of Names,The Song of Names,2019,113.0,Drama,6.5,5875,https://www.imdb.com/title/tt1657517
tt4513316,Novitiate,Novitiate,2017,123.0,Drama,6.7,5870,https://www.imdb.com/title/tt4513316
tt7288408,Radioflash,Radioflash,2019,103.0,Drama,4.8,5870,https://www.imdb.com/title/tt7288408
tt0105191,Pure Country,Pure Country,1992,112.0,Drama,7.2,5865,https://www.imdb.com/title/tt0105191
tt5338222,"My Tomorrow, Your Yesterday","Boku wa asu, kinou no kimi to dêto suru",2016,111.0,Drama,7.4,5865,https://www.imdb.com/title/tt5338222
tt0090203,The Trip to Bountiful,The Trip to Bountiful,1985,108.0,Drama,7.4,5851,https://www.imdb.com/title/tt0090203
tt1638353,The Patience Stone,"Syngué sabour, pierre de patience",2012,102.0,Drama,7.1,5847,https://www.imdb.com/title/tt1638353
tt11591424,The Stay,The Stay,2021,87.0,Drama,4.1,5846,https://www.imdb.com/title/tt11591424
tt0437447,Riding Alone for Thousands of Miles,Qian li zou dan qi,2005,107.0,Drama,7.3,5846,https://www.imdb.com/title/tt0437447
tt3709344,CityLights,City Lights,2014,126.0,Drama,7.3,5843,https://www.imdb.com/title/tt3709344
tt10937434,Ultras,Ultras,2020,108.0,Drama,6.2,5841,https://www.imdb.com/title/tt10937434
tt0340376,The Statement,The Statement,2003,120.0,Drama,6.2,5841,https://www.imdb.com/title/tt0340376
tt36118360,Tu Yaa Main,Tu Yaa Main,2026,143.0,Drama,6.5,5837,https://www.imdb.com/title/tt36118360
tt0407998,The Mistress of Spices,The Mistress of Spices,2005,92.0,Drama,5.5,5835,https://www.imdb.com/title/tt0407998
tt0106535,The Cement Garden,The Cement Garden,1993,101.0,Drama,7.0,5830,https://www.imdb.com/title/tt0106535
tt0330904,A Snake of June,Rokugatsu no hebi,2002,77.0,Drama,6.8,5828,https://www.imdb.com/title/tt0330904
tt1627924,Mausam,Mausam,2011,161.0,Drama,4.8,5827,https://www.imdb.com/title/tt1627924
tt29702934,Sila Nodigalil,Sila Nodigalil,2023,94.0,Drama,5.1,5824,https://www.imdb.com/title/tt29702934
tt1951166,Capital,Le capital,2012,114.0,Drama,6.5,5823,https://www.imdb.com/title/tt1951166
tt5577494,Clemency,Clemency,2019,112.0,Drama,6.5,5823,https://www.imdb.com/title/tt5577494
tt2307002,One Eyed Girl,One Eyed Girl,2013,102.0,Drama,5.2,5819,https://www.imdb.com/title/tt2307002
tt2201548,A Teacher,A Teacher,2013,75.0,Drama,4.8,5811,https://www.imdb.com/title/tt2201548
tt21097192,Die Alone,Die Alone,2024,90.0,Drama,5.8,5807,https://www.imdb.com/title/tt21097192
tt3186318,Hellion,Hellion,2014,99.0,Drama,6.0,5804,https://www.imdb.com/title/tt3186318
tt0783767,Angel,Angel,2007,134.0,Drama,5.8,5804,https://www.imdb.com/title/tt0783767
tt1039652,The Zone,La Zona,2007,97.0,Drama,7.0,5803,https://www.imdb.com/title/tt1039652
tt0172627,Body Shots,Body Shots,1999,106.0,Drama,4.9,5798,https://www.imdb.com/title/tt0172627
tt0242252,The Affair of the Necklace,The Affair of the Necklace,2001,118.0,Drama,6.0,5795,https://www.imdb.com/title/tt0242252
tt1541149,Albatross,Albatross,2011,90.0,Drama,6.3,5792,https://www.imdb.com/title/tt1541149
tt5973032,Antiporno,Anchiporuno,2016,76.0,Drama,6.3,5786,https://www.imdb.com/title/tt5973032
tt5936492,The Witch in the Window,The Witch in the Window,2018,77.0,Drama,5.7,5784,https://www.imdb.com/title/tt5936492
tt0114808,The Star Maker,L'uomo delle stelle,1995,113.0,Drama,7.3,5784,https://www.imdb.com/title/tt0114808
tt0080464,The Boogey Man,The Boogey Man,1980,82.0,Drama,4.7,5782,https://www.imdb.com/title/tt0080464
tt2084977,The Scapegoat,The Scapegoat,2012,108.0,Drama,7.2,5782,https://www.imdb.com/title/tt2084977
tt33294533,Ronth,Ronth,2025,122.0,Drama,7.1,5780,https://www.imdb.com/title/tt33294533
tt32792934,The Plague,The Plague,2025,98.0,Drama,6.4,5777,https://www.imdb.com/title/tt32792934
tt3136112,Shelter,Shelter,2014,105.0,Drama,6.5,5770,https://www.imdb.com/title/tt3136112
tt5883632,Esteros,Esteros,2016,83.0,Drama,7.0,5769,https://www.imdb.com/title/tt5883632
tt0094315,The Whales of August,The Whales of August,1987,90.0,Drama,7.1,5769,https://www.imdb.com/title/tt0094315
tt9616700,Adu,Adú,2020,119.0,Drama,6.8,5764,https://www.imdb.com/title/tt9616700
tt15560626,Bhoothakaalam,Bhoothakaalam,2022,105.0,Drama,7.4,5761,https://www.imdb.com/title/tt15560626
tt0348505,Asylum,Asylum,2005,99.0,Drama,6.1,5760,https://www.imdb.com/title/tt0348505
tt6544220,The Mandela Effect,The Mandela Effect,2019,79.0,Drama,5.8,5758,https://www.imdb.com/title/tt6544220
tt3717068,Court,Court,2014,116.0,Drama,7.6,5757,https://www.imdb.com/title/tt3717068
tt6012380,Ordinary Love,Ordinary Love,2019,92.0,Drama,6.6,5755,https://www.imdb.com/title/tt6012380
tt27930156,I Love You,I Love You,2023,93.0,Drama,5.4,5743,https://www.imdb.com/title/tt27930156
